invoice_number,invoice_date,vendor_id,vendor_name_on_invoice,po_number,sku,uom,qty,rate,taxable_value,gst_rate_pct,gst_amount,invoice_total,status,raw_qty_mismatch,raw_rate_mismatch,raw_uom_mismatch,raw_vendor_mismatch,raw_missing_po,raw_gst_error
KM/2026/162,2025-11-05,FTV-1046,Kohinoor Metals,PO/2026/1424,CP-163,Nos,9,67245.67,605211.03,18,108937.99,714149.02,CLEAN,False,False,False,False,False,False
INV-SH-0065,2026-03-27,V-1027,Shakti Hydraulics,PO/2026/1576,SM-121,Nos,12,41880.91,502570.92,18,90462.77,593033.69,CLEAN,False,False,False,False,False,False
INV-NP-0065,2025-07-06,V-1019,National Packaging,PO/2026/1418,BV-109,Nos,117,24088.78,2818387.26,18,507309.71,3325696.97,RATE_MISMATCH,False,True,False,False,False,False
UH00045,2025-06-20,V-1038,Universal Hydraulics,PO/2026/1587,CP-105,Nos,5,126738.59,633692.95,18,114064.73,747757.68,CLEAN,False,False,False,False,False,False
JB&00290,2026-01-15,V-1015,Jyoti Bearings & Co,PO/2026/1497,GV-111,Nos,32,19216.75,614936.0,18,110688.48,725624.48,QTY_MISMATCH,True,False,False,False,False,False
INV-OPP-0083,2026-06-07,V-1060,OM POLYMERS PVT. LTD.,PO/2026/1547,GV-126,Nos,72,22104.63,1591533.36,18,286476.0,1878009.36,VENDOR_MISMATCH,False,False,False,True,False,False
DPP/2026/230,2025-06-26,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/9358,CP-137,Nos,6,181670.54,1090023.24,18,196204.18,1286227.42,MISSING_PO,False,False,False,False,True,False
OC00160,2026-04-26,V-1021,Om Castings,PO/2026/1481,CP-147,Nos,3,128425.54,385276.62,18,69349.79,454626.41,CLEAN,False,False,False,False,False,False
AST00246,2025-06-08,FTV-1045,Accurate Steel Traders,PO/2026/1641,SM-111,Nos,3,105549.29,316647.87,18,56996.62,373644.49,RATE_MISMATCH,False,True,False,False,False,False
GEP/2026/203,2025-07-05,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1451,GV-124,Nos,124,16323.31,2024090.44,18,364336.28,2388426.72,CLEAN,False,False,False,False,False,False
UH/2026/042,2025-06-07,V-1038,Universal Hydraulics,PO/2026/1484,BV-112,Nos,9,1580.18,14221.62,18,2559.89,16781.51,CLEAN,False,False,False,False,False,False
HM&/2026/143,2025-12-18,V-1025,Hindustan Metals & Co,PO/2026/1603,CP-107,Nos,16,54014.01,864224.16,18,155560.35,1019784.51,CLEAN,False,False,False,False,False,False
SF&00238,2026-02-21,V-1002,Sharma Forgings & Co,PO/2026/1516,BV-120,Nos,46,23767.61,1093310.06,18,196795.81,1290105.87,CLEAN,False,False,False,False,False,False
NP00066,2026-07-29,V-1019,National Packaging,PO/2026/1469,GV-128,Nos,174,5149.6,896030.4,18,161285.47,1057315.87,RATE_MISMATCH,False,True,False,False,False,False
SH00053,2026-01-21,V-1022,Sharma Hydraulics,PO/2026/1584,BV-124,Nos,91,14737.12,1341077.92,18,241394.03,1582471.95,CLEAN,False,False,False,False,False,False
INV-PIS-0299,2025-11-24,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1453,CP-173,Nos,1,27920.14,27920.14,18,5025.63,32945.77,CLEAN,False,False,False,False,False,False
DPP00231,2025-05-26,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/1534,BV-124,Nos,36,14735.67,530484.12,18,95487.14,625971.26,CLEAN,False,False,False,False,False,False
INV-SH-0057,2026-04-12,V-1027,Shakti Hydraulics,PO/2026/1624,GV-123,Nos,172,5283.4,908744.8,18,163574.06,1072318.86,CLEAN,False,False,False,False,False,False
SH/2026/064,2025-09-13,V-1027,Shakti Hydraulics,PO/2026/1588,CP-149,Nos,3,153082.64,459247.92,18,82664.63,541912.55,CLEAN,False,False,False,False,False,False
KP00196,2025-06-13,V-1003,Krishna Polymers,PO/2026/1431,FT-1428,Nos,10,73394.63,733946.3,18,132110.33,866056.63,CLEAN,False,False,False,False,False,False
HP00212,2025-04-25,V-1037,Hindustan Polymers,PO/2026/1590,GV-101,Nos,169,9108.49,1539334.81,18,277080.27,1816415.08,CLEAN,False,False,False,False,False,False
INV-TRP-0186,2026-06-18,V-1033,Trimurti Rubber Products Pvt Ltd,PO/2026/1503,SP-103,Box(10),20,57816.5,1156330.0,18,208139.4,1364469.4,UOM_MISMATCH,True,True,True,False,False,False
KP/2026/193,2025-05-22,V-1003,Krishna Polymers,PO/2026/1625,SM-135,Nos,14,24833.68,347671.52,18,62580.87,410252.39,CLEAN,False,False,False,False,False,False
JC00145,2026-04-02,V-1005,Jyoti Castings,PO/2026/1430,GV-132,Nos,22,8886.29,195498.38,18,35189.71,230688.09,CLEAN,False,False,False,False,False,False
SVS/2026/266,2026-07-11,V-1010,Sri Venkatesh Seals & Gaskets,PO/2026/1571,FT-1477,Nos,11,76200.7,838207.7,18,150877.39,989085.09,RATE_MISMATCH,False,True,False,False,False,False
ME/2026/051,2026-06-17,V-1006,Micro Electricals,PO/2026/1622,BV-109,Nos,113,22871.26,2584452.38,18,465201.43,3049653.81,CLEAN,False,False,False,False,False,False
INV-SST-0137,2025-08-10,V-1041,Sunrise Steel Traders & Co,PO/2026/1572,SP-117,Nos,200,6171.52,1234304.0,18,222174.72,1456478.72,CLEAN,False,False,False,False,False,False
NEW/2026/048,2025-06-03,V-1007,National Engineering Works Pvt Ltd,PO/2026/1605,SM-103,Nos,4,58024.52,232098.08,18,41777.65,273875.73,CLEAN,False,False,False,False,False,False
NP00060,2025-09-25,V-1035,Nirmal Packaging,PO/2026/1608,GV-126,Nos,8,21315.19,170521.52,18,30693.87,201215.39,CLEAN,False,False,False,False,False,False
JCP00153,2026-01-18,V-1057,JYOTI CASTINGS PVT. LTD.,PO/2026/1513,BV-128,Nos,8,1930.13,15441.04,18,2779.39,18220.43,VENDOR_MISMATCH,False,False,False,True,False,False
UH00044,2026-03-14,V-1038,Universal Hydraulics,PO/2026/1447,CP-129,Nos,1,67631.75,67631.75,18,12173.72,79805.47,CLEAN,False,False,False,False,False,False
EF00154,2026-01-22,V-1012,Everest Fasteners,PO/2026/1619,SM-103,Nos,6,57149.96,342899.76,18,61721.96,404621.72,CLEAN,False,False,False,False,False,False
INV-SVS-0268,2026-07-03,V-1010,Sri Venkatesh Seals & Gaskets,PO/2026/1434,SP-107,Nos,30,190.96,5728.8,18,1031.18,6759.98,CLEAN,False,False,False,False,False,False
INV-GEP-0202,2026-05-30,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1505,SM-134,Nos,1,17773.06,17773.06,18,3199.15,20972.21,CLEAN,False,False,False,False,False,False
SVB/2026/104,2025-06-12,V-1029,Sri Venkatesh Bearings,PO/2026/1633,SP-103,Nos,20,5990.77,119815.4,18,21566.77,141382.17,RATE_MISMATCH,False,True,False,False,False,False
INV-MEW-0186,2026-05-06,V-1024,Mahalaxmi Engineering Works,PO/2026/1452,CP-143,Nos,18,88130.54,1586349.72,18,444177.92,2030527.64,GST_ERROR,False,False,False,False,False,True
PIS/2026/300,2026-04-12,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1490,SP-118,Nos,30,430.48,12914.4,18,2324.59,15238.99,CLEAN,False,False,False,False,False,False
INV-PIS-0298,2025-06-02,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1618,CP-117,Nos,5,49414.76,247073.8,18,44473.28,291547.08,QTY_MISMATCH,True,False,False,False,False,False
INV-RST-0068,2026-01-24,V-1013,Reliable Steel Traders,PO/2026/1442,CP-119,Nos,13,118300.15,1537901.95,18,276822.35,1814724.3,CLEAN,False,False,False,False,False,False
HM&00144,2025-05-14,V-1025,Hindustan Metals & Co,PO/2026/1586,BV-118,Nos,83,11555.87,959137.21,18,172644.7,1131781.91,CLEAN,False,False,False,False,False,False
ATP/2026/251,2026-04-29,V-1056,APEX TOOLS PVT. LTD.,PO/2026/1417,FT-1435,Nos,3,13806.88,41420.64,18,7455.72,48876.36,VENDOR_MISMATCH,False,False,False,True,False,False
INV-SB&-0079,2026-05-28,V-1011,Sharma Bearings & Co,PO/2026/1416,SM-127,Nos,10,68362.64,683626.4,18,123052.75,806679.15,CLEAN,False,False,False,False,False,False
UP/2026/148,2025-07-28,V-1039,Universal Polymers,PO/2026/1566,CP-117,Nos,2,44885.16,89770.32,18,16158.66,105928.98,CLEAN,False,False,False,False,False,False
EF00153,2025-07-29,V-1012,Everest Fasteners,PO/2026/1639,SP-107,Nos,10,203.04,2030.4,18,365.47,2395.87,CLEAN,False,False,False,False,False,False
INV-PCP-0156,2025-07-19,V-1017,Pioneer Castings Pvt Ltd,PO/2026/1544,BV-123,Nos,67,2720.1,182246.7,18,32804.41,215051.11,CLEAN,False,False,False,False,False,False
INV-MF&-0087,2026-06-08,V-1026,Micro Fasteners & Co,PO/2026/1651,CP-114,Nos,10,99550.7,995507.0,18,278741.96,1274248.96,GST_ERROR,False,False,False,False,False,True
SH00063,2025-10-13,V-1027,Shakti Hydraulics,PO/2026/9072,GV-131,Nos,131,7968.19,1043832.89,18,187889.92,1231722.81,MISSING_PO,False,False,False,False,True,False
EF/2026/156,2026-02-18,V-1009,Everest Forgings,PO/2026/9125,BV-124,Nos,13,17773.86,231060.18,18,41590.83,272651.01,MISSING_PO,False,False,False,False,True,False
PIS/2026/297,2026-05-02,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1642,SM-116,Nos,6,93566.23,561397.38,18,101051.53,662448.91,CLEAN,False,False,False,False,False,False
INV-NP-0061,2025-08-15,V-1019,National Packaging,PO/2026/1645,BV-111,Nos,106,5217.48,553052.88,18,99549.52,652602.4,CLEAN,False,False,False,False,False,False
RFP/2026/188,2026-03-22,V-1008,Reliable Fasteners Pvt Ltd,PO/2026/1543,FT-1477,Nos,9,70437.79,633940.11,18,177503.23,811443.34,GST_ERROR,False,False,False,False,False,True
GEW00126,2026-01-17,FTV-1052,Ganesh Engineering Works,PO/2026/1637,SM-118,Nos,9,30717.76,276459.84,18,49762.77,326222.61,CLEAN,False,False,False,False,False,False
SRP00275,2025-05-27,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1465,CP-152,Nos,5,96329.43,481647.15,18,86696.49,568343.64,CLEAN,False,False,False,False,False,False
PP/2026/279,2026-04-27,FTV-1051,Precision Packaging,PO/2026/1595,CP-172,Nos,13,83468.79,1085094.27,18,195316.97,1280411.24,CLEAN,False,False,False,False,False,False
INV-PFP-0109,2026-03-17,V-1059,PERFECT FORGINGS PVT. LTD.,PO/2026/1620,BV-111,Nos,111,5007.42,555823.62,18,100048.25,655871.87,VENDOR_MISMATCH,False,False,False,True,False,False
SVB00103,2026-03-06,V-1029,Sri Venkatesh Bearings,PO/2026/1428,GV-116,Nos,177,16155.61,2859542.97,18,514717.73,3374260.7,CLEAN,False,False,False,False,False,False
INV-KF-0207,2025-05-04,V-1030,Krishna Forgings,PO/2026/1522,SM-139,Nos,5,73847.72,369238.6,18,66462.95,435701.55,CLEAN,False,False,False,False,False,False
AT00125,2025-07-06,V-1042,Apex Tools,PO/2026/1540,CP-134,Nos,4,156740.76,626963.04,18,112853.35,739816.39,QTY_MISMATCH,True,False,False,False,False,False
ATP00249,2026-07-12,V-1056,APEX TOOLS PVT. LTD.,PO/2026/1578,CP-159,Nos,16,100361.33,1605781.28,18,289040.63,1894821.91,VENDOR_MISMATCH,False,False,False,True,False,False
INV-KP&-0284,2025-06-05,V-1043,Krishna Packaging & Co,PO/2026/9326,GV-124,Nos,114,17764.81,2025188.34,18,364533.9,2389722.24,MISSING_PO,False,False,False,False,True,False
SST00136,2025-12-25,V-1041,Sunrise Steel Traders & Co,PO/2026/1541,SM-118,Nos,1,37940.42,37940.42,18,4552.85,42493.27,GST_ERROR,False,False,False,False,False,True
MF&/2026/086,2025-08-15,V-1026,Micro Fasteners & Co,PO/2026/1659,BV-115,Nos,80,12629.72,1010377.6,18,181867.97,1192245.57,CLEAN,False,False,False,False,False,False
HM&/2026/142,2025-08-24,V-1025,Hindustan Metals & Co,PO/2026/1486,SM-111,Nos,15,121998.56,1829978.4,18,329396.11,2159374.51,CLEAN,False,False,False,False,False,False
MRP00231,2026-01-03,V-1004,Mahalaxmi Rubber Products Pvt Ltd,PO/2026/1405,GV-126,Nos,91,23420.5,2131265.5,18,383627.79,2514893.29,CLEAN,False,False,False,False,False,False
NEW/2026/050,2026-02-03,V-1007,National Engineering Works Pvt Ltd,PO/2026/1512,GV-105,Nos,39,25428.21,991700.19,18,178506.03,1170206.22,RATE_MISMATCH,False,True,False,False,False,False
INV-PFP-0107,2026-08-01,V-1059,PERFECT FORGINGS PVT. LTD.,PO/2026/1413,CP-119,Nos,1,130338.02,130338.02,18,23460.84,153798.86,VENDOR_MISMATCH,False,False,False,True,False,False
AS&/2026/120,2026-06-29,V-1034,Apex Seals & Gaskets & Co,PO/2026/1483,GV-131,Nos,176,8187.76,1441045.76,18,259388.24,1700434.0,QTY_MISMATCH,True,False,False,False,False,False
SH/2026/055,2025-09-20,V-1022,Sharma Hydraulics,PO/2026/1607,GV-135,Nos,7,15037.04,105259.28,18,18946.67,124205.95,CLEAN,False,False,False,False,False,False
INV-SEW-0165,2026-01-15,V-1032,Shakti Engineering Works,PO/2026/1514,SM-111,Nos,12,129875.93,1558511.16,18,280532.01,1839043.17,RATE_MISMATCH,False,True,False,False,False,False
INV-SRP-0277,2025-11-29,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1554,SP-110,Box(10),1,23104.0,23104.0,18,4158.72,27262.72,UOM_MISMATCH,True,True,True,False,False,False
PCP00155,2026-03-17,V-1017,Pioneer Castings Pvt Ltd,PO/2026/1657,BV-118,Nos,97,14448.98,1401551.06,18,252279.19,1653830.25,RATE_MISMATCH,False,True,False,False,False,False
SB&00081,2025-07-07,V-1011,Sharma Bearings & Co,PO/2026/1536,BV-103,Nos,28,14552.05,407457.4,18,73342.33,480799.73,CLEAN,False,False,False,False,False,False
NP/2026/059,2026-03-21,V-1019,National Packaging,PO/2026/1558,BV-103,Nos,23,16066.34,369525.82,18,66514.65,436040.47,CLEAN,False,False,False,False,False,False
INV-KP-0191,2026-01-03,V-1003,Krishna Polymers,PO/2026/1526,SP-107,Nos,10,207.45,2074.5,18,373.41,2447.91,CLEAN,False,False,False,False,False,False
INV-SH-0060,2025-10-06,V-1022,Sharma Hydraulics,PO/2026/1475,CP-171,Nos,20,134441.86,2688837.2,18,483990.7,3172827.9,QTY_MISMATCH,True,False,False,False,False,False
INV-PST-0118,2025-05-01,V-1016,Pioneer Steel Traders Pvt Ltd,PO/2026/1460,SM-134,Nos,18,21042.22,378759.96,18,68176.79,446936.75,QTY_MISMATCH,True,False,False,False,False,False
AST00247,2026-06-07,FTV-1045,Accurate Steel Traders,PO/2026/1626,SM-124,Nos,8,110404.06,883232.48,18,158981.85,1042214.33,CLEAN,False,False,False,False,False,False
INV-OC-0161,2025-04-20,V-1021,Om Castings,PO/2026/1476,SP-107,Nos,150,211.01,31651.5,18,5697.27,37348.77,CLEAN,False,False,False,False,False,False
INV-SVS-0269,2025-12-19,V-1010,Sri Venkatesh Seals & Gaskets,PO/2026/1643,CP-162,Nos,7,87696.42,613874.94,18,110497.49,724372.43,QTY_MISMATCH,True,False,False,False,False,False
TRP/2026/188,2025-05-20,V-1033,Trimurti Rubber Products Pvt Ltd,PO/2026/1613,BV-118,Nos,67,12294.85,823754.95,18,148275.89,972030.84,CLEAN,False,False,False,False,False,False
INV-REW-0249,2026-08-05,FTV-1047,Reliable Engineering Works & Co,PO/2026/1614,SM-134,Nos,7,21032.4,147226.8,18,26500.82,173727.62,CLEAN,False,False,False,False,False,False
PST00116,2026-08-01,V-1016,Pioneer Steel Traders Pvt Ltd,PO/2026/1509,GV-135,Box(10),6,150699.7,904198.2,18,162755.68,1066953.88,UOM_MISMATCH,True,True,True,False,False,False
ST&00256,2025-10-09,V-1031,Supreme Tools & Co,PO/2026/1446,FT-1414,Nos,19,59835.85,1136881.15,18,204638.61,1341519.76,QTY_MISMATCH,True,False,False,False,False,False
MRP00234,2025-06-04,V-1004,Mahalaxmi Rubber Products Pvt Ltd,PO/2026/1628,FT-1449,Nos,12,81244.94,974939.28,18,175489.07,1150428.35,CLEAN,False,False,False,False,False,False
PFP00110,2025-05-19,V-1014,Perfect Forgings Pvt Ltd,PO/2026/1524,CP-117,Nos,14,55469.76,776576.64,18,139783.8,916360.44,CLEAN,False,False,False,False,False,False
SRP00278,2025-07-03,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1474,CP-136,Nos,18,150729.44,2713129.92,18,488363.39,3201493.31,CLEAN,False,False,False,False,False,False
INV-OC-0159,2025-06-02,V-1021,Om Castings,PO/2026/1494,SM-114,Nos,11,57005.9,627064.9,18,112871.68,739936.58,CLEAN,False,False,False,False,False,False
DPP00235,2026-04-21,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/1604,CP-165,Nos,4,51471.31,205885.24,18,37059.34,242944.58,CLEAN,False,False,False,False,False,False
INV-GEP-0201,2026-03-28,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1602,CP-114,Nos,11,96415.62,1060571.82,18,190902.93,1251474.75,CLEAN,False,False,False,False,False,False
EF00152,2026-04-09,V-1009,Everest Forgings,PO/2026/1565,SP-109,Nos,200,4171.35,834270.0,18,150168.6,984438.6,RATE_MISMATCH,False,True,False,False,False,False
INV-GS&-0222,2026-06-26,V-1028,Ganesh Seals & Gaskets,PO/2026/1564,SM-108,Nos,15,101758.91,1526383.65,18,274749.06,1801132.71,RATE_MISMATCH,False,True,False,False,False,False
JC00141,2025-06-26,V-1005,Jyoti Castings,PO/2026/1570,CP-110,Nos,7,143562.43,1004937.01,18,180888.66,1185825.67,CLEAN,False,False,False,False,False,False
JEW00159,2026-06-20,V-1023,Jyoti Engineering Works,PO/2026/1521,CP-111,Nos,6,13804.82,82828.92,18,14909.21,97738.13,CLEAN,False,False,False,False,False,False
PP/2026/277,2026-01-05,FTV-1051,Precision Packaging,PO/2026/1457,SP-126,Nos,24,7256.51,174156.24,18,31348.12,205504.36,QTY_MISMATCH,True,False,False,False,False,False
SH00061,2026-04-14,V-1027,Shakti Hydraulics,PO/2026/1629,BV-128,Box(10),2,19481.4,38962.8,18,7013.3,45976.1,UOM_MISMATCH,True,True,True,False,False,False
ATP00250,2025-11-27,V-1056,APEX TOOLS PVT. LTD.,PO/2026/1420,FT-1456,Nos,7,25651.39,179559.73,18,32320.75,211880.48,VENDOR_MISMATCH,False,False,False,True,False,False
KM00164,2025-11-02,FTV-1046,Kohinoor Metals,PO/2026/1650,CP-163,Nos,6,77271.6,463629.6,18,83453.33,547082.93,CLEAN,False,False,False,False,False,False
PFP00106,2025-12-18,V-1014,Perfect Forgings Pvt Ltd,PO/2026/1495,CP-158,Nos,4,41568.8,166275.2,18,29929.54,196204.74,CLEAN,False,False,False,False,False,False
SP&/2026/292,2025-12-13,V-1040,Sharma Packaging & Co,PO/2026/9391,CP-149,Nos,12,170494.77,2045937.24,18,368268.7,2414205.94,MISSING_PO,False,False,False,False,True,False
NP/2026/067,2025-08-04,V-1019,National Packaging,PO/2026/1631,CP-107,Nos,11,59550.14,655051.54,18,117909.28,772960.82,CLEAN,False,False,False,False,False,False
RFP/2026/190,2026-01-07,V-1008,Reliable Fasteners Pvt Ltd,PO/2026/1611,GV-141,Nos,71,15677.65,1113113.15,18,200360.37,1313473.52,CLEAN,False,False,False,False,False,False
INV-JCP-0155,2026-03-08,V-1057,JYOTI CASTINGS PVT. LTD.,PO/2026/1523,CP-105,Nos,17,105021.68,1785368.56,18,321366.34,2106734.9,VENDOR_MISMATCH,False,False,False,True,False,False
GEP/2026/198,2026-06-16,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1506,BV-124,Nos,108,14828.53,1601481.24,18,288266.62,1889747.86,CLEAN,False,False,False,False,False,False
INV-KM-0163,2026-05-04,FTV-1046,Kohinoor Metals,PO/2026/1530,CP-147,Nos,18,131407.09,2365327.62,18,425758.97,2791086.59,CLEAN,False,False,False,False,False,False
KP00192,2025-04-30,V-1003,Krishna Polymers,PO/2026/1568,GV-126,Nos,55,22178.0,1219790.0,18,219562.2,1439352.2,CLEAN,False,False,False,False,False,False
INV-KP&-0283,2025-12-02,V-1043,Krishna Packaging & Co,PO/2026/1574,SP-113,Nos,10,3181.73,31817.3,18,5727.11,37544.41,CLEAN,False,False,False,False,False,False
INV-HP-0210,2026-01-17,V-1037,Hindustan Polymers,PO/2026/1438,BV-106,Box(10),2,141429.6,282859.2,18,50914.66,333773.86,UOM_MISMATCH,True,True,True,False,False,False
OP00277,2025-05-12,V-1001,Om Polymers,PO/2026/1647,SP-122,Nos,30,7394.59,221837.7,18,39930.79,261768.49,CLEAN,False,False,False,False,False,False
RST/2026/066,2025-11-10,V-1013,Reliable Steel Traders,PO/2026/1472,SP-107,Box(10),15,1995.6,29934.0,18,5388.12,35322.12,UOM_MISMATCH,True,True,True,False,False,False
RTP00189,2026-03-25,FTV-1048,Reliable Tools Pvt Ltd,PO/2026/1515,BV-120,Nos,21,19884.16,417567.36,18,75162.12,492729.48,CLEAN,False,False,False,False,False,False
INV-OC-0163,2025-09-12,V-1021,Om Castings,PO/2026/1591,SM-104,Nos,10,53027.96,530279.6,18,95450.33,625729.93,CLEAN,False,False,False,False,False,False
HP/2026/215,2026-07-17,V-1037,Hindustan Polymers,PO/2026/1600,CP-108,Nos,2,118516.35,237032.7,18,42665.89,279698.59,CLEAN,False,False,False,False,False,False
INV-RFP-0189,2025-08-05,V-1008,Reliable Fasteners Pvt Ltd,PO/2026/1493,FT-1428,Nos,16,65955.47,1055287.52,18,189951.75,1245239.27,QTY_MISMATCH,True,False,False,False,False,False
INV-UH-0043,2025-04-30,V-1038,Universal Hydraulics,PO/2026/1466,GV-132,Nos,65,8655.47,562605.55,18,101269.0,663874.55,RATE_MISMATCH,False,True,False,False,False,False
MEW/2026/189,2025-11-16,V-1024,Mahalaxmi Engineering Works,PO/2026/1461,CP-146,Nos,18,56876.13,1023770.34,18,184278.66,1208049.0,CLEAN,False,False,False,False,False,False
RTP/2026/187,2026-01-07,FTV-1048,Reliable Tools Pvt Ltd,PO/2026/1441,SP-109,Nos,100,4175.08,417508.0,18,75151.44,492659.44,CLEAN,False,False,False,False,False,False
PCP00153,2026-01-15,V-1017,Pioneer Castings Pvt Ltd,PO/2026/1421,SP-114,Box(10),3,6069.6,18208.8,18,3277.58,21486.38,UOM_MISMATCH,True,True,True,False,False,False
INV-KP-0195,2025-11-13,V-1003,Krishna Polymers,PO/2026/1528,CP-129,Nos,6,76706.2,460237.2,18,82842.7,543079.9,CLEAN,False,False,False,False,False,False
INV-JC-0143,2025-09-20,V-1005,Jyoti Castings,PO/2026/1443,GV-126,Nos,138,22921.45,3163160.1,18,569368.82,3732528.92,CLEAN,False,False,False,False,False,False
INV-OC-0165,2025-05-16,V-1021,Om Castings,PO/2026/9155,FT-1414,Nos,6,55340.7,332044.2,18,59767.96,391812.16,MISSING_PO,False,False,False,False,True,False
RFP00192,2026-06-30,V-1008,Reliable Fasteners Pvt Ltd,PO/2026/1529,CP-146,Nos,1,57579.67,57579.67,18,10364.34,67944.01,CLEAN,False,False,False,False,False,False
JCP00154,2026-05-04,V-1057,JYOTI CASTINGS PVT. LTD.,PO/2026/1575,CP-136,Nos,14,133735.57,1872297.98,18,337013.64,2209311.62,VENDOR_MISMATCH,False,False,False,True,False,False
GS&00223,2026-02-13,V-1028,Ganesh Seals & Gaskets,PO/2026/1560,SM-103,Nos,1,61228.82,61228.82,18,11021.19,72250.01,CLEAN,False,False,False,False,False,False
INV-ST&-0258,2026-03-16,V-1031,Supreme Tools & Co,PO/2026/1652,FT-1435,Nos,18,14025.43,252457.74,18,45442.39,297900.13,CLEAN,False,False,False,False,False,False
INV-NEW-0049,2025-06-16,V-1007,National Engineering Works Pvt Ltd,PO/2026/1542,FT-1470,Nos,14,79038.36,1106537.04,18,199176.67,1305713.71,CLEAN,False,False,False,False,False,False
INV-JB&-0288,2025-07-03,V-1015,Jyoti Bearings & Co,PO/2026/1621,SM-103,Box(10),1,664477.5,664477.5,18,119605.95,784083.45,UOM_MISMATCH,True,True,True,False,False,False
SH/2026/056,2025-11-17,V-1022,Sharma Hydraulics,PO/2026/1485,GV-128,Nos,111,4630.04,513934.44,18,92508.2,606442.64,QTY_MISMATCH,True,False,False,False,False,False
INV-KM-0165,2026-03-13,FTV-1046,Kohinoor Metals,PO/2026/1596,GV-136,Nos,119,1790.95,213123.05,18,38362.15,251485.2,QTY_MISMATCH,True,False,False,False,False,False
EF/2026/150,2025-10-08,V-1012,Everest Fasteners,PO/2026/1606,CP-125,Nos,4,148843.67,595374.68,18,107167.44,702542.12,CLEAN,False,False,False,False,False,False
OC00162,2025-08-03,V-1021,Om Castings,PO/2026/1470,FT-1407,Nos,12,76707.03,920484.36,18,116401.53,1036885.89,GST_ERROR,False,False,False,False,False,True
INV-KP&-0285,2026-03-20,V-1043,Krishna Packaging & Co,PO/2026/1404,CP-108,Nos,5,121911.47,609557.35,18,109720.32,719277.67,CLEAN,False,False,False,False,False,False
INV-RC-0263,2025-10-29,FTV-1054,Reliable Castings,PO/2026/1573,SM-139,Nos,7,76935.55,538548.85,18,96938.79,635487.64,RATE_MISMATCH,False,True,False,False,False,False
INV-SRP-0274,2026-01-02,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1423,SM-118,Nos,9,34121.46,307093.14,18,36851.18,343944.32,GST_ERROR,False,False,False,False,False,True
