legacy_id,crm_id,customer_name,tier,region,credit_terms_days,migrated_to_salestrack
C-5058,ST-65986,Navkar Trading Co (South),Standard,East,30,Y
C-5059,ST-71028,Apex Engineering Projects (II),Gold,South,30,Y
C-5060,ST-24322,Everflow Marketing (North),Standard,North,30,Y
C-5061,,Kaveri Engineering Sales (II),Standard,East,30,N
C-5062,,Emerald Pumping Solutions (North),Gold,East,30,N
C-5063,ST-13488,Shree Datta Agencies (South),Standard,East,30,Y
C-5064,,Dhanlaxmi Distributors (North),Standard,South,30,N
C-5065,,Falcon Industrial Sales (North),Gold,North,30,N
C-5066,ST-60046,Bharat Pump Centre (North),Gold,East,30,Y
C-5067,ST-17618,Ujjwal Engineering (South),Standard,West,30,Y
C-5068,ST-42623,Sagar Hydro Systems (II),Standard,West,30,Y
C-5069,ST-92053,Western Flow Controls (South),Standard,West,30,Y
C-5070,ST-90809,Himgiri Traders (North),Standard,West,30,Y
C-5071,ST-84544,Quality Fluid Systems (South),Gold,West,30,Y
C-5072,ST-76772,Marudhar Machinery (North),Standard,South,30,Y
C-5073,,Rajdhani Engineering Co (South),Standard,North,30,N
C-5074,,Chola Pump Distributors (South),Standard,South,30,N
C-5075,ST-75308,Ganga Valley Traders (II),Standard,South,30,Y
C-5076,,Zenith Pump Solutions (South),Standard,South,30,N
C-5077,ST-71211,Orient Flow Equipments (North),Standard,West,30,Y
C-5078,,Sri Balaji Agencies (North),Standard,East,30,N
C-5079,ST-66608,Yamuna Industrial Traders (South),Gold,West,30,Y
C-5080,ST-47555,Vasavi Sales & Service (North),Standard,North,30,Y
C-5081,ST-94192,DHANLAXMI DISTRIBUTORS,Platinum,West,60,Y
C-5082,ST-89190,LAKSHMI INDUSTRIAL AGENCIES,Standard,East,30,Y
C-5083,ST-96206,APEX ENGINEERING PROJECTS,Gold,East,30,Y
C-5084,ST-61658,EVERFLOW MARKETING,Standard,West,30,Y
C-5085,ST-67568,WESTERN FLOW CONTROLS,Gold,East,30,Y
