vendor_id,vendor_name,gstin,city,state,payment_terms_days,msme_registered,source_system
V-1029,Sri Venkatesh Bearings,27BGHCM45231ZK,Nashik,MH,45,Y,DRISHTI
V-1030,Krishna Forgings,36UGREL53861ZG,Hyderabad,TS,45,Y,DRISHTI
V-1031,Supreme Tools & Co,33KVKDT61281ZE,Chennai,TN,45,Y,DRISHTI
V-1032,Shakti Engineering Works,24HDUGP63531ZF,Ahmedabad,GJ,30,N,DRISHTI
V-1033,Trimurti Rubber Products Pvt Ltd,19WYSPF33971ZE,Kolkata,WB,60,N,DRISHTI
V-1034,Apex Seals & Gaskets & Co,33PQVVW40761ZF,Chennai,TN,30,Y,DRISHTI
V-1035,Nirmal Packaging,08GRBSN00321ZD,Jaipur,RJ,60,N,DRISHTI
V-1036,Precision Electricals,27PTSPC24171ZH,Mumbai,MH,45,Y,DRISHTI
V-1037,Hindustan Polymers,03MMHGR14381ZD,Ludhiana,PB,45,Y,DRISHTI
V-1038,Universal Hydraulics,33FBKBT66721ZK,Coimbatore,TN,30,N,DRISHTI
V-1039,Universal Polymers,36HJEZW12981ZB,Hyderabad,TS,60,Y,DRISHTI
V-1040,Sharma Packaging & Co,24FNNNV28451ZF,Ahmedabad,GJ,45,N,DRISHTI
V-1041,Sunrise Steel Traders & Co,24QSDDV75881ZE,Vadodara,GJ,30,Y,DRISHTI
V-1042,Apex Tools,24LEBED64501ZJ,Vadodara,GJ,45,N,DRISHTI
V-1043,Krishna Packaging & Co,19TDHTA00571ZF,Kolkata,WB,30,Y,DRISHTI
V-1044,Universal Steel Traders,27LLVEF92191ZG,Mumbai,MH,45,Y,DRISHTI
FTV-1045,Accurate Steel Traders,33RLYQC87101ZB,Coimbatore,TN,30,Y,FLOWTECH
FTV-1046,Kohinoor Metals,24XZLPD86271ZA,Ahmedabad,GJ,45,N,FLOWTECH
FTV-1047,Reliable Engineering Works & Co,33MDVPZ46591ZE,Chennai,TN,30,Y,FLOWTECH
FTV-1048,Reliable Tools Pvt Ltd,08VNNCG05091ZG,Jaipur,RJ,60,Y,FLOWTECH
FTV-1049,Sunrise Rubber Products Pvt Ltd,08AXDCC52971ZK,Jaipur,RJ,60,Y,FLOWTECH
FTV-1050,Deccan Polymers Pvt Ltd,27DYFTM22831ZH,Nashik,MH,30,N,FLOWTECH
FTV-1051,Precision Packaging,24UQQMA93041ZE,Ahmedabad,GJ,30,N,FLOWTECH
FTV-1052,Ganesh Engineering Works,29WPJWD55851ZH,Bengaluru,KA,45,Y,FLOWTECH
FTV-1053,Nirmal Bearings Pvt Ltd,29KAEGV59011ZD,Bengaluru,KA,60,Y,FLOWTECH
FTV-1054,Reliable Castings,33ZZSWN99991ZA,Chennai,TN,45,Y,FLOWTECH
V-1055,SHARMA BEARINGS PVT. LTD.,29XBJJU05331ZB,Bengaluru,KA,30,Y,DRISHTI
V-1056,APEX TOOLS PVT. LTD.,24LEBED64501ZJ,Vadodara,GJ,45,N,DRISHTI
V-1057,JYOTI CASTINGS PVT. LTD.,27NSTLD88171ZJ,Nashik,MH,30,N,DRISHTI
V-1058,PERFECT IND. SUPPLIES PVT. LTD.,27CACSP93761ZA,Pune,MH,30,N,DRISHTI
V-1059,PERFECT FORGINGS PVT. LTD.,29HJGMU44341ZJ,Bengaluru,KA,30,Y,DRISHTI
V-1060,OM POLYMERS PVT. LTD.,08YRYXX64581ZA,Jaipur,RJ,30,Y,DRISHTI
