sku,description,family,uom,list_price_2019,list_price_2023
GV-126,"2"" CI Class 125 Gate Valve",GV,Nos,34020.0,37510.0
GV-128,"2"" CI Class 125 Gate Valve",GV,Nos,6750.0,7600.0
GV-129,"6"" CS Class 150 Gate Valve",GV,Nos,12830.0,14190.0
GV-131,"2"" CI Class 125 Gate Valve",GV,Nos,11930.0,13040.0
GV-132,"8"" SS Class 300 Gate Valve",GV,Nos,12210.0,13720.0
GV-133,"2"" CI Class 125 Gate Valve",GV,Nos,,2200.0
GV-135,"8"" SS Class 300 Gate Valve",GV,Nos,20360.0,23050.0
GV-136,"6"" CS Class 150 Gate Valve",GV,Nos,2480.0,2890.0
GV-139,"8"" SS Class 300 Gate Valve",GV,Nos,17610.0,20120.0
GV-141,"2"" CI Class 125 Gate Valve",GV,Nos,22550.0,25540.0
BV-103,"3"" Wafer Type Butterfly Valve",BV,Nos,,24450.0
BV-106,"3"" Wafer Type Butterfly Valve",BV,Nos,19630.0,22130.0
BV-109,"4"" Wafer Type Butterfly Valve",BV,Nos,29390.0,34270.0
BV-111,"3"" Wafer Type Butterfly Valve",BV,Nos,8150.0,8970.0
BV-112,"4"" Wafer Type Butterfly Valve",BV,Nos,2380.0,2800.0
BV-113,"8"" Lug Type Butterfly Valve",BV,Nos,22800.0,25310.0
BV-115,"4"" Wafer Type Butterfly Valve",BV,Nos,18330.0,20160.0
BV-118,"6"" Lug Type Butterfly Valve",BV,Nos,17940.0,20450.0
BV-120,"6"" Lug Type Butterfly Valve",BV,Nos,31340.0,34600.0
BV-123,"4"" Wafer Type Butterfly Valve",BV,Nos,3940.0,4330.0
BV-124,"8"" Lug Type Butterfly Valve",BV,Nos,23430.0,25830.0
BV-125,"3"" Wafer Type Butterfly Valve",BV,Nos,30320.0,35340.0
BV-128,"3"" Wafer Type Butterfly Valve",BV,Nos,2620.0,3050.0
BV-130,"3"" Wafer Type Butterfly Valve",BV,Nos,28570.0,32320.0
SP-103,Impeller Kit Spares Kit,SP,Nos,,9040.0
SP-105,Wear Ring Set Spares Kit,SP,Nos,9750.0,11420.0
SP-107,Gasket Set Spares Kit,SP,Nos,310.0,340.0
SP-109,Coupling Kit Spares Kit,SP,Nos,5600.0,6340.0
SP-110,Mechanical Seal Kit Spares Kit,SP,Nos,,3650.0
SP-113,Mechanical Seal Kit Spares Kit,SP,Nos,4540.0,5250.0
SP-114,Wear Ring Set Spares Kit,SP,Nos,800.0,870.0
SP-115,Mechanical Seal Kit Spares Kit,SP,Nos,370.0,420.0
SP-117,Impeller Kit Spares Kit,SP,Nos,9250.0,10170.0
SP-118,Coupling Kit Spares Kit,SP,Nos,610.0,690.0
SP-120,Wear Ring Set Spares Kit,SP,Nos,5470.0,6200.0
SP-122,Mechanical Seal Kit Spares Kit,SP,Nos,10260.0,12000.0
SP-123,Mechanical Seal Kit Spares Kit,SP,Nos,210.0,230.0
SP-125,Gasket Set Spares Kit,SP,Nos,220.0,240.0
SP-126,Bearing & Sleeve Kit Spares Kit,SP,Nos,9100.0,10710.0
SP-128,Impeller Kit Spares Kit,SP,Nos,2260.0,2570.0
FT-1400,3 HP End-Suction Centrifugal Pump (FlowTech),CP,Nos,70420.0,77280.0
FT-1407,1 HP Monoblock Centrifugal Pump (FlowTech),CP,Nos,106250.0,119610.0
FT-1414,10 HP Process Centrifugal Pump (FlowTech),CP,Nos,79920.0,91480.0
FT-1421,15 HP Process Centrifugal Pump (FlowTech),CP,Nos,116430.0,136810.0
FT-1428,5 HP Dewatering Submersible Pump (FlowTech),SM,Nos,94960.0,106130.0
FT-1435,15 HP Process Centrifugal Pump (FlowTech),CP,Nos,18330.0,20490.0
FT-1442,3 HP Openwell Submersible Pump (FlowTech),SM,Nos,54590.0,
FT-1449,3 HP End-Suction Centrifugal Pump (FlowTech),CP,Nos,119720.0,130460.0
FT-1456,3 HP Openwell Submersible Pump (FlowTech),SM,Nos,40350.0,44910.0
FT-1463,5 HP Dewatering Submersible Pump (FlowTech),SM,Nos,160440.0,174600.0
FT-1470,15 HP Process Centrifugal Pump (FlowTech) (FlowTech),CP,Nos,116430.0,136810.0
FT-1477,7.5 HP Sewage Submersible Pump (FlowTech),SM,Nos,107270.0,116960.0
