invoice_number,status,reason,invoice_date,vendor_id,vendor_name_on_invoice,po_number,sku,uom,qty,rate,taxable_value,gst_rate_pct,gst_amount,invoice_total,raw_missing_po,raw_vendor_mismatch,raw_uom_mismatch,raw_qty_mismatch,raw_rate_mismatch,raw_gst_error,raw_duplicate,raw_flag_count
INV-SH-0065,CLEAN,All checks passed,2026-03-27,V-1027,Shakti Hydraulics,PO/2026/1576,SM-121,Nos,12,41880.91,502570.92,18,90462.77,593033.69,False,False,False,False,False,False,False,0
INV-NP-0065,RATE_MISMATCH,"Rate mismatch: invoice=24088.78, PO=22909.38, diff=1179.40",2025-07-06,V-1019,National Packaging,PO/2026/1418,BV-109,Nos,117,24088.78,2818387.26,18,507309.71,3325696.97,False,False,False,False,True,False,False,1
UH00045,CLEAN,All checks passed,2025-06-20,V-1038,Universal Hydraulics,PO/2026/1587,CP-105,Nos,5,126738.59,633692.95,18,114064.73,747757.68,False,False,False,False,False,False,False,0
JB&00290,QTY_MISMATCH,"Quantity mismatch: invoice=32.0, PO=27.0",2026-01-15,V-1015,Jyoti Bearings & Co,PO/2026/1497,GV-111,Nos,32,19216.75,614936.0,18,110688.48,725624.48,False,False,False,True,False,False,False,1
INV-OPP-0083,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-06-07,V-1060,OM POLYMERS PVT. LTD.,PO/2026/1547,GV-126,Nos,72,22104.63,1591533.36,18,286476.0,1878009.36,False,True,False,False,False,False,False,1
DPP/2026/230,MISSING_PO,PO 'PO/2026/9358' not found in purchase order master,2025-06-26,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/9358,CP-137,Nos,6,181670.54,1090023.24,18,196204.18,1286227.42,True,False,False,False,False,False,False,1
OC00160,CLEAN,All checks passed,2026-04-26,V-1021,Om Castings,PO/2026/1481,CP-147,Nos,3,128425.54,385276.62,18,69349.79,454626.41,False,False,False,False,False,False,False,0
AST00246,RATE_MISMATCH,"Rate mismatch: invoice=105549.29, PO=101382.6, diff=4166.69",2025-06-08,FTV-1045,Accurate Steel Traders,PO/2026/1641,SM-111,Nos,3,105549.29,316647.87,18,56996.62,373644.49,False,False,False,False,True,False,False,1
GEP/2026/203,CLEAN,All checks passed,2025-07-05,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1451,GV-124,Nos,124,16323.31,2024090.44,18,364336.28,2388426.72,False,False,False,False,False,False,False,0
UH/2026/042,CLEAN,All checks passed,2025-06-07,V-1038,Universal Hydraulics,PO/2026/1484,BV-112,Nos,9,1580.18,14221.62,18,2559.89,16781.51,False,False,False,False,False,False,False,0
HM&/2026/143,CLEAN,All checks passed,2025-12-18,V-1025,Hindustan Metals & Co,PO/2026/1603,CP-107,Nos,16,54014.01,864224.16,18,155560.35,1019784.51,False,False,False,False,False,False,False,0
SF&00238,CLEAN,All checks passed,2026-02-21,V-1002,Sharma Forgings & Co,PO/2026/1516,BV-120,Nos,46,23767.61,1093310.06,18,196795.81,1290105.87,False,False,False,False,False,False,False,0
NP00066,RATE_MISMATCH,"Rate mismatch: invoice=5149.6, PO=4865.23, diff=284.37",2026-07-29,V-1019,National Packaging,PO/2026/1469,GV-128,Nos,174,5149.6,896030.4,18,161285.47,1057315.87,False,False,False,False,True,False,False,1
SH00053,CLEAN,All checks passed,2026-01-21,V-1022,Sharma Hydraulics,PO/2026/1584,BV-124,Nos,91,14737.12,1341077.92,18,241394.03,1582471.95,False,False,False,False,False,False,False,0
INV-PIS-0299,CLEAN,All checks passed,2025-11-24,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1453,CP-173,Nos,1,27920.14,27920.14,18,5025.63,32945.77,False,False,False,False,False,False,False,0
DPP00231,CLEAN,All checks passed,2025-05-26,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/1534,BV-124,Nos,36,14735.67,530484.12,18,95487.14,625971.26,False,False,False,False,False,False,False,0
INV-SH-0057,CLEAN,All checks passed,2026-04-12,V-1027,Shakti Hydraulics,PO/2026/1624,GV-123,Nos,172,5283.4,908744.8,18,163574.06,1072318.86,False,False,False,False,False,False,False,0
SH/2026/064,CLEAN,All checks passed,2025-09-13,V-1027,Shakti Hydraulics,PO/2026/1588,CP-149,Nos,3,153082.64,459247.92,18,82664.63,541912.55,False,False,False,False,False,False,False,0
KP00196,CLEAN,All checks passed,2025-06-13,V-1003,Krishna Polymers,PO/2026/1431,FT-1428,Nos,10,73394.63,733946.3,18,132110.33,866056.63,False,False,False,False,False,False,False,0
HP00212,CLEAN,All checks passed,2025-04-25,V-1037,Hindustan Polymers,PO/2026/1590,GV-101,Nos,169,9108.49,1539334.81,18,277080.27,1816415.08,False,False,False,False,False,False,False,0
INV-TRP-0186,UOM_MISMATCH,"UOM mismatch: invoice='Box(10)', PO='Nos'",2026-06-18,V-1033,Trimurti Rubber Products Pvt Ltd,PO/2026/1503,SP-103,Box(10),20,57816.5,1156330.0,18,208139.4,1364469.4,False,False,True,False,False,False,False,1
KP/2026/193,CLEAN,All checks passed,2025-05-22,V-1003,Krishna Polymers,PO/2026/1625,SM-135,Nos,14,24833.68,347671.52,18,62580.87,410252.39,False,False,False,False,False,False,False,0
JC00145,CLEAN,All checks passed,2026-04-02,V-1005,Jyoti Castings,PO/2026/1430,GV-132,Nos,22,8886.29,195498.38,18,35189.71,230688.09,False,False,False,False,False,False,False,0
SVS/2026/266,RATE_MISMATCH,"Rate mismatch: invoice=76200.7, PO=70295.23, diff=5905.47",2026-07-11,V-1010,Sri Venkatesh Seals & Gaskets,PO/2026/1571,FT-1477,Nos,11,76200.7,838207.7,18,150877.39,989085.09,False,False,False,False,True,False,False,1
ME/2026/051,CLEAN,All checks passed,2026-06-17,V-1006,Micro Electricals,PO/2026/1622,BV-109,Nos,113,22871.26,2584452.38,18,465201.43,3049653.81,False,False,False,False,False,False,False,0
INV-SST-0137,CLEAN,All checks passed,2025-08-10,V-1041,Sunrise Steel Traders & Co,PO/2026/1572,SP-117,Nos,200,6171.52,1234304.0,18,222174.72,1456478.72,False,False,False,False,False,False,False,0
NEW/2026/048,CLEAN,All checks passed,2025-06-03,V-1007,National Engineering Works Pvt Ltd,PO/2026/1605,SM-103,Nos,4,58024.52,232098.08,18,41777.65,273875.73,False,False,False,False,False,False,False,0
NP00060,CLEAN,All checks passed,2025-09-25,V-1035,Nirmal Packaging,PO/2026/1608,GV-126,Nos,8,21315.19,170521.52,18,30693.87,201215.39,False,False,False,False,False,False,False,0
JCP00153,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-01-18,V-1057,JYOTI CASTINGS PVT. LTD.,PO/2026/1513,BV-128,Nos,8,1930.13,15441.04,18,2779.39,18220.43,False,True,False,False,False,False,False,1
UH00044,CLEAN,All checks passed,2026-03-14,V-1038,Universal Hydraulics,PO/2026/1447,CP-129,Nos,1,67631.75,67631.75,18,12173.72,79805.47,False,False,False,False,False,False,False,0
EF00154,CLEAN,All checks passed,2026-01-22,V-1012,Everest Fasteners,PO/2026/1619,SM-103,Nos,6,57149.96,342899.76,18,61721.96,404621.72,False,False,False,False,False,False,False,0
INV-SVS-0268,CLEAN,All checks passed,2026-07-03,V-1010,Sri Venkatesh Seals & Gaskets,PO/2026/1434,SP-107,Nos,30,190.96,5728.8,18,1031.18,6759.98,False,False,False,False,False,False,False,0
INV-GEP-0202,CLEAN,All checks passed,2026-05-30,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1505,SM-134,Nos,1,17773.06,17773.06,18,3199.15,20972.21,False,False,False,False,False,False,False,0
SVB/2026/104,RATE_MISMATCH,"Rate mismatch: invoice=5990.77, PO=5626.37, diff=364.40",2025-06-12,V-1029,Sri Venkatesh Bearings,PO/2026/1633,SP-103,Nos,20,5990.77,119815.4,18,21566.77,141382.17,False,False,False,False,True,False,False,1
INV-MEW-0186,GST_ERROR,"GST mismatch: invoice=444177.92, expected=285542.95, diff=158634.97",2026-05-06,V-1024,Mahalaxmi Engineering Works,PO/2026/1452,CP-143,Nos,18,88130.54,1586349.72,18,444177.92,2030527.64,False,False,False,False,False,True,False,1
PIS/2026/300,CLEAN,All checks passed,2026-04-12,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1490,SP-118,Nos,30,430.48,12914.4,18,2324.59,15238.99,False,False,False,False,False,False,False,0
INV-PIS-0298,QTY_MISMATCH,"Quantity mismatch: invoice=5.0, PO=4.0",2025-06-02,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1618,CP-117,Nos,5,49414.76,247073.8,18,44473.28,291547.08,False,False,False,True,False,False,False,1
INV-RST-0068,CLEAN,All checks passed,2026-01-24,V-1013,Reliable Steel Traders,PO/2026/1442,CP-119,Nos,13,118300.15,1537901.95,18,276822.35,1814724.3,False,False,False,False,False,False,False,0
HM&00144,CLEAN,All checks passed,2025-05-14,V-1025,Hindustan Metals & Co,PO/2026/1586,BV-118,Nos,83,11555.87,959137.21,18,172644.7,1131781.91,False,False,False,False,False,False,False,0
ATP/2026/251,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-04-29,V-1056,APEX TOOLS PVT. LTD.,PO/2026/1417,FT-1435,Nos,3,13806.88,41420.64,18,7455.72,48876.36,False,True,False,False,False,False,False,1
INV-SB&-0079,CLEAN,All checks passed,2026-05-28,V-1011,Sharma Bearings & Co,PO/2026/1416,SM-127,Nos,10,68362.64,683626.4,18,123052.75,806679.15,False,False,False,False,False,False,False,0
UP/2026/148,CLEAN,All checks passed,2025-07-28,V-1039,Universal Polymers,PO/2026/1566,CP-117,Nos,2,44885.16,89770.32,18,16158.66,105928.98,False,False,False,False,False,False,False,0
EF00153,CLEAN,All checks passed,2025-07-29,V-1012,Everest Fasteners,PO/2026/1639,SP-107,Nos,10,203.04,2030.4,18,365.47,2395.87,False,False,False,False,False,False,False,0
INV-PCP-0156,CLEAN,All checks passed,2025-07-19,V-1017,Pioneer Castings Pvt Ltd,PO/2026/1544,BV-123,Nos,67,2720.1,182246.7,18,32804.41,215051.11,False,False,False,False,False,False,False,0
INV-MF&-0087,GST_ERROR,"GST mismatch: invoice=278741.96, expected=179191.26, diff=99550.70",2026-06-08,V-1026,Micro Fasteners & Co,PO/2026/1651,CP-114,Nos,10,99550.7,995507.0,18,278741.96,1274248.96,False,False,False,False,False,True,False,1
SH00063,MISSING_PO,PO 'PO/2026/9072' not found in purchase order master,2025-10-13,V-1027,Shakti Hydraulics,PO/2026/9072,GV-131,Nos,131,7968.19,1043832.89,18,187889.92,1231722.81,True,False,False,False,False,False,False,1
EF/2026/156,MISSING_PO,PO 'PO/2026/9125' not found in purchase order master,2026-02-18,V-1009,Everest Forgings,PO/2026/9125,BV-124,Nos,13,17773.86,231060.18,18,41590.83,272651.01,True,False,False,False,False,False,False,1
PIS/2026/297,CLEAN,All checks passed,2026-05-02,V-1018,Perfect Industrial Supplies Pvt Ltd,PO/2026/1642,SM-116,Nos,6,93566.23,561397.38,18,101051.53,662448.91,False,False,False,False,False,False,False,0
INV-NP-0061,CLEAN,All checks passed,2025-08-15,V-1019,National Packaging,PO/2026/1645,BV-111,Nos,106,5217.48,553052.88,18,99549.52,652602.4,False,False,False,False,False,False,False,0
RFP/2026/188,GST_ERROR,"GST mismatch: invoice=177503.23, expected=114109.22, diff=63394.01",2026-03-22,V-1008,Reliable Fasteners Pvt Ltd,PO/2026/1543,FT-1477,Nos,9,70437.79,633940.11,18,177503.23,811443.34,False,False,False,False,False,True,False,1
GEW00126,CLEAN,All checks passed,2026-01-17,FTV-1052,Ganesh Engineering Works,PO/2026/1637,SM-118,Nos,9,30717.76,276459.84,18,49762.77,326222.61,False,False,False,False,False,False,False,0
SRP00275,CLEAN,All checks passed,2025-05-27,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1465,CP-152,Nos,5,96329.43,481647.15,18,86696.49,568343.64,False,False,False,False,False,False,False,0
PP/2026/279,CLEAN,All checks passed,2026-04-27,FTV-1051,Precision Packaging,PO/2026/1595,CP-172,Nos,13,83468.79,1085094.27,18,195316.97,1280411.24,False,False,False,False,False,False,False,0
INV-PFP-0109,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-03-17,V-1059,PERFECT FORGINGS PVT. LTD.,PO/2026/1620,BV-111,Nos,111,5007.42,555823.62,18,100048.25,655871.87,False,True,False,False,False,False,False,1
SVB00103,CLEAN,All checks passed,2026-03-06,V-1029,Sri Venkatesh Bearings,PO/2026/1428,GV-116,Nos,177,16155.61,2859542.97,18,514717.73,3374260.7,False,False,False,False,False,False,False,0
INV-KF-0207,CLEAN,All checks passed,2025-05-04,V-1030,Krishna Forgings,PO/2026/1522,SM-139,Nos,5,73847.72,369238.6,18,66462.95,435701.55,False,False,False,False,False,False,False,0
AT00125,QTY_MISMATCH,"Quantity mismatch: invoice=4.0, PO=3.0",2025-07-06,V-1042,Apex Tools,PO/2026/1540,CP-134,Nos,4,156740.76,626963.04,18,112853.35,739816.39,False,False,False,True,False,False,False,1
ATP00249,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-07-12,V-1056,APEX TOOLS PVT. LTD.,PO/2026/1578,CP-159,Nos,16,100361.33,1605781.28,18,289040.63,1894821.91,False,True,False,False,False,False,False,1
INV-KP&-0284,MISSING_PO,PO 'PO/2026/9326' not found in purchase order master,2025-06-05,V-1043,Krishna Packaging & Co,PO/2026/9326,GV-124,Nos,114,17764.81,2025188.34,18,364533.9,2389722.24,True,False,False,False,False,False,False,1
SST00136,GST_ERROR,"GST mismatch: invoice=4552.85, expected=6829.28, diff=2276.43",2025-12-25,V-1041,Sunrise Steel Traders & Co,PO/2026/1541,SM-118,Nos,1,37940.42,37940.42,18,4552.85,42493.27,False,False,False,False,False,True,False,1
MF&/2026/086,CLEAN,All checks passed,2025-08-15,V-1026,Micro Fasteners & Co,PO/2026/1659,BV-115,Nos,80,12629.72,1010377.6,18,181867.97,1192245.57,False,False,False,False,False,False,False,0
HM&/2026/142,CLEAN,All checks passed,2025-08-24,V-1025,Hindustan Metals & Co,PO/2026/1486,SM-111,Nos,15,121998.56,1829978.4,18,329396.11,2159374.51,False,False,False,False,False,False,False,0
MRP00231,CLEAN,All checks passed,2026-01-03,V-1004,Mahalaxmi Rubber Products Pvt Ltd,PO/2026/1405,GV-126,Nos,91,23420.5,2131265.5,18,383627.79,2514893.29,False,False,False,False,False,False,False,0
NEW/2026/050,RATE_MISMATCH,"Rate mismatch: invoice=25428.21, PO=24213.03, diff=1215.18",2026-02-03,V-1007,National Engineering Works Pvt Ltd,PO/2026/1512,GV-105,Nos,39,25428.21,991700.19,18,178506.03,1170206.22,False,False,False,False,True,False,False,1
INV-PFP-0107,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-08-01,V-1059,PERFECT FORGINGS PVT. LTD.,PO/2026/1413,CP-119,Nos,1,130338.02,130338.02,18,23460.84,153798.86,False,True,False,False,False,False,False,1
AS&/2026/120,QTY_MISMATCH,"Quantity mismatch: invoice=176.0, PO=152.0",2026-06-29,V-1034,Apex Seals & Gaskets & Co,PO/2026/1483,GV-131,Nos,176,8187.76,1441045.76,18,259388.24,1700434.0,False,False,False,True,False,False,False,1
SH/2026/055,CLEAN,All checks passed,2025-09-20,V-1022,Sharma Hydraulics,PO/2026/1607,GV-135,Nos,7,15037.04,105259.28,18,18946.67,124205.95,False,False,False,False,False,False,False,0
INV-SEW-0165,RATE_MISMATCH,"Rate mismatch: invoice=129875.93, PO=119477.13, diff=10398.80",2026-01-15,V-1032,Shakti Engineering Works,PO/2026/1514,SM-111,Nos,12,129875.93,1558511.16,18,280532.01,1839043.17,False,False,False,False,True,False,False,1
INV-SRP-0277,UOM_MISMATCH,"UOM mismatch: invoice='Box(10)', PO='Nos'",2025-11-29,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1554,SP-110,Box(10),1,23104.0,23104.0,18,4158.72,27262.72,False,False,True,False,False,False,False,1
PCP00155,RATE_MISMATCH,"Rate mismatch: invoice=14448.98, PO=13556.55, diff=892.43",2026-03-17,V-1017,Pioneer Castings Pvt Ltd,PO/2026/1657,BV-118,Nos,97,14448.98,1401551.06,18,252279.19,1653830.25,False,False,False,False,True,False,False,1
SB&00081,CLEAN,All checks passed,2025-07-07,V-1011,Sharma Bearings & Co,PO/2026/1536,BV-103,Nos,28,14552.05,407457.4,18,73342.33,480799.73,False,False,False,False,False,False,False,0
NP/2026/059,CLEAN,All checks passed,2026-03-21,V-1019,National Packaging,PO/2026/1558,BV-103,Nos,23,16066.34,369525.82,18,66514.65,436040.47,False,False,False,False,False,False,False,0
INV-KP-0191,CLEAN,All checks passed,2026-01-03,V-1003,Krishna Polymers,PO/2026/1526,SP-107,Nos,10,207.45,2074.5,18,373.41,2447.91,False,False,False,False,False,False,False,0
INV-SH-0060,QTY_MISMATCH,"Quantity mismatch: invoice=20.0, PO=19.0",2025-10-06,V-1022,Sharma Hydraulics,PO/2026/1475,CP-171,Nos,20,134441.86,2688837.2,18,483990.7,3172827.9,False,False,False,True,False,False,False,1
INV-PST-0118,QTY_MISMATCH,"Quantity mismatch: invoice=18.0, PO=15.0",2025-05-01,V-1016,Pioneer Steel Traders Pvt Ltd,PO/2026/1460,SM-134,Nos,18,21042.22,378759.96,18,68176.79,446936.75,False,False,False,True,False,False,False,1
AST00247,CLEAN,All checks passed,2026-06-07,FTV-1045,Accurate Steel Traders,PO/2026/1626,SM-124,Nos,8,110404.06,883232.48,18,158981.85,1042214.33,False,False,False,False,False,False,False,0
INV-OC-0161,CLEAN,All checks passed,2025-04-20,V-1021,Om Castings,PO/2026/1476,SP-107,Nos,150,211.01,31651.5,18,5697.27,37348.77,False,False,False,False,False,False,False,0
INV-SVS-0269,QTY_MISMATCH,"Quantity mismatch: invoice=7.0, PO=6.0",2025-12-19,V-1010,Sri Venkatesh Seals & Gaskets,PO/2026/1643,CP-162,Nos,7,87696.42,613874.94,18,110497.49,724372.43,False,False,False,True,False,False,False,1
TRP/2026/188,CLEAN,All checks passed,2025-05-20,V-1033,Trimurti Rubber Products Pvt Ltd,PO/2026/1613,BV-118,Nos,67,12294.85,823754.95,18,148275.89,972030.84,False,False,False,False,False,False,False,0
INV-REW-0249,CLEAN,All checks passed,2026-08-05,FTV-1047,Reliable Engineering Works & Co,PO/2026/1614,SM-134,Nos,7,21032.4,147226.8,18,26500.82,173727.62,False,False,False,False,False,False,False,0
PST00116,UOM_MISMATCH,"UOM mismatch: invoice='Box(10)', PO='Nos'",2026-08-01,V-1016,Pioneer Steel Traders Pvt Ltd,PO/2026/1509,GV-135,Box(10),6,150699.7,904198.2,18,162755.68,1066953.88,False,False,True,False,False,False,False,1
ST&00256,QTY_MISMATCH,"Quantity mismatch: invoice=19.0, PO=16.0",2025-10-09,V-1031,Supreme Tools & Co,PO/2026/1446,FT-1414,Nos,19,59835.85,1136881.15,18,204638.61,1341519.76,False,False,False,True,False,False,False,1
MRP00234,CLEAN,All checks passed,2025-06-04,V-1004,Mahalaxmi Rubber Products Pvt Ltd,PO/2026/1628,FT-1449,Nos,12,81244.94,974939.28,18,175489.07,1150428.35,False,False,False,False,False,False,False,0
PFP00110,CLEAN,All checks passed,2025-05-19,V-1014,Perfect Forgings Pvt Ltd,PO/2026/1524,CP-117,Nos,14,55469.76,776576.64,18,139783.8,916360.44,False,False,False,False,False,False,False,0
SRP00278,CLEAN,All checks passed,2025-07-03,FTV-1049,Sunrise Rubber Products Pvt Ltd,PO/2026/1474,CP-136,Nos,18,150729.44,2713129.92,18,488363.39,3201493.31,False,False,False,False,False,False,False,0
INV-OC-0159,CLEAN,All checks passed,2025-06-02,V-1021,Om Castings,PO/2026/1494,SM-114,Nos,11,57005.9,627064.9,18,112871.68,739936.58,False,False,False,False,False,False,False,0
DPP00235,CLEAN,All checks passed,2026-04-21,FTV-1050,Deccan Polymers Pvt Ltd,PO/2026/1604,CP-165,Nos,4,51471.31,205885.24,18,37059.34,242944.58,False,False,False,False,False,False,False,0
INV-GEP-0201,CLEAN,All checks passed,2026-03-28,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1602,CP-114,Nos,11,96415.62,1060571.82,18,190902.93,1251474.75,False,False,False,False,False,False,False,0
EF00152,RATE_MISMATCH,"Rate mismatch: invoice=4171.35, PO=3834.47, diff=336.88",2026-04-09,V-1009,Everest Forgings,PO/2026/1565,SP-109,Nos,200,4171.35,834270.0,18,150168.6,984438.6,False,False,False,False,True,False,False,1
INV-GS&-0222,RATE_MISMATCH,"Rate mismatch: invoice=101758.91, PO=97085.81, diff=4673.10",2026-06-26,V-1028,Ganesh Seals & Gaskets,PO/2026/1564,SM-108,Nos,15,101758.91,1526383.65,18,274749.06,1801132.71,False,False,False,False,True,False,False,1
JC00141,CLEAN,All checks passed,2025-06-26,V-1005,Jyoti Castings,PO/2026/1570,CP-110,Nos,7,143562.43,1004937.01,18,180888.66,1185825.67,False,False,False,False,False,False,False,0
JEW00159,CLEAN,All checks passed,2026-06-20,V-1023,Jyoti Engineering Works,PO/2026/1521,CP-111,Nos,6,13804.82,82828.92,18,14909.21,97738.13,False,False,False,False,False,False,False,0
PP/2026/277,QTY_MISMATCH,"Quantity mismatch: invoice=24.0, PO=20.0",2026-01-05,FTV-1051,Precision Packaging,PO/2026/1457,SP-126,Nos,24,7256.51,174156.24,18,31348.12,205504.36,False,False,False,True,False,False,False,1
SH00061,UOM_MISMATCH,"UOM mismatch: invoice='Box(10)', PO='Nos'",2026-04-14,V-1027,Shakti Hydraulics,PO/2026/1629,BV-128,Box(10),2,19481.4,38962.8,18,7013.3,45976.1,False,False,True,False,False,False,False,1
ATP00250,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2025-11-27,V-1056,APEX TOOLS PVT. LTD.,PO/2026/1420,FT-1456,Nos,7,25651.39,179559.73,18,32320.75,211880.48,False,True,False,False,False,False,False,1
KM00164,CLEAN,All checks passed,2025-11-02,FTV-1046,Kohinoor Metals,PO/2026/1650,CP-163,Nos,6,77271.6,463629.6,18,83453.33,547082.93,False,False,False,False,False,False,False,0
PFP00106,CLEAN,All checks passed,2025-12-18,V-1014,Perfect Forgings Pvt Ltd,PO/2026/1495,CP-158,Nos,4,41568.8,166275.2,18,29929.54,196204.74,False,False,False,False,False,False,False,0
SP&/2026/292,MISSING_PO,PO 'PO/2026/9391' not found in purchase order master,2025-12-13,V-1040,Sharma Packaging & Co,PO/2026/9391,CP-149,Nos,12,170494.77,2045937.24,18,368268.7,2414205.94,True,False,False,False,False,False,False,1
NP/2026/067,CLEAN,All checks passed,2025-08-04,V-1019,National Packaging,PO/2026/1631,CP-107,Nos,11,59550.14,655051.54,18,117909.28,772960.82,False,False,False,False,False,False,False,0
RFP/2026/190,CLEAN,All checks passed,2026-01-07,V-1008,Reliable Fasteners Pvt Ltd,PO/2026/1611,GV-141,Nos,71,15677.65,1113113.15,18,200360.37,1313473.52,False,False,False,False,False,False,False,0
INV-JCP-0155,VENDOR_MISMATCH,Vendor ID on invoice differs from PO,2026-03-08,V-1057,JYOTI CASTINGS PVT. LTD.,PO/2026/1523,CP-105,Nos,17,105021.68,1785368.56,18,321366.34,2106734.9,False,True,False,False,False,False,False,1
GEP/2026/198,CLEAN,All checks passed,2026-06-16,V-1020,Ganesh Electricals Pvt Ltd,PO/2026/1506,BV-124,Nos,108,14828.53,1601481.24,18,288266.62,1889747.86,False,False,False,False,False,False,False,0
INV-KM-0163,CLEAN,All checks passed,2026-05-04,FTV-1046,Kohinoor Metals,PO/2026/1530,CP-147,Nos,18,131407.09,2365327.62,18,425758.97,2791086.59,False,False,False,False,False,False,False,0
KP00192,CLEAN,All checks passed,2025-04-30,V-1003,Krishna Polymers,PO/2026/1568,GV-126,Nos,55,22178.0,1219790.0,18,219562.2,1439352.2,False,False,False,False,False,False,False,0
INV-KP&-0283,CLEAN,All checks passed,2025-12-02,V-1043,Krishna Packaging & Co,PO/2026/1574,SP-113,Nos,10,3181.73,31817.3,18,5727.11,37544.41,False,False,False,False,False,False,False,0
INV-HP-0210,UOM_MISMATCH,"UOM mismatch: invoice='Box(10)', PO='Nos'",2026-01-17,V-1037,Hindustan Polymers,PO/2026/1438,BV-106,Box(10),2,141429.6,282859.2,18,50914.66,333773.86,False,False,True,False,False,False,False,1
OP00277,CLEAN,All checks passed,2025-05-12,V-1001,Om Polymers,PO/2026/1647,SP-122,Nos,30,7394.59,221837.7,18,39930.79,261768.49,False,False,False,False,False,False,False,0
RST/2026/066,UOM_MISMATCH,"UOM mismatch: invoice='Box(10)', PO='Nos'",2025-11-10,V-1013,Reliable Steel Traders,PO/2026/1472,SP-107,Box(10),15,1995.6,29934.0,18,5388.12,35322.12,False,False,True,False,False,False,False,1
RTP00189,CLEAN,All checks passed,2026-03-25,FTV-1048,Reliable Tools Pvt Ltd,PO/2026/1515,BV-120,Nos,21,19884.16,417567.36,18,75162.12,492729.48,False,False,False,False,False,False,False,0
INV-OC-0163,CLEAN,All checks passed,2025-09-12,V-1021,Om Castings,PO/2026/1591,SM-104,Nos,10,53027.96,530279.6,18,95450.33,625729.93,False,False,False,False,False,False,False,0
