invoice_number,starter_status,new_status,changed,reason
INV-JCP-0155,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
INV-JEW-0156,CLEAN,CLEAN,False,
INV-JEW-0158,CLEAN,CLEAN,False,
INV-KF-0207,CLEAN,CLEAN,False,
INV-KF-0208,CLEAN,CLEAN,False,
INV-KM-0163,CLEAN,CLEAN,False,
INV-KM-0165,QTY_MISMATCH,QTY_MISMATCH,False,
INV-KP&-0282,CLEAN,CLEAN,False,
INV-KP&-0283,CLEAN,CLEAN,False,
INV-KP&-0284,MISSING_PO,MISSING_PO,False,
INV-KP&-0285,CLEAN,CLEAN,False,
INV-KP&-0286,DUPLICATE_INVOICE,DUPLICATE_INVOICE,False,
INV-KP-0191,CLEAN,CLEAN,False,
INV-KP-0195,CLEAN,CLEAN,False,
INV-MEW-0186,GST_ERROR,GST_ERROR,False,
INV-MEW-0187,QTY_MISMATCH,QTY_MISMATCH,False,
INV-MF&-0087,GST_ERROR,GST_ERROR,False,
INV-MRP-0232,CLEAN,CLEAN,False,
INV-NBP-0066,CLEAN,CLEAN,False,
INV-NBP-0068,DUPLICATE_INVOICE,DUPLICATE_INVOICE,False,
INV-NEW-0049,CLEAN,CLEAN,False,
INV-NP-0061,CLEAN,CLEAN,False,
INV-NP-0063,RATE_MISMATCH,RATE_MISMATCH,False,
INV-NP-0065,RATE_MISMATCH,RATE_MISMATCH,False,
INV-NP-0068,CLEAN,CLEAN,False,
INV-OC-0159,CLEAN,CLEAN,False,
INV-OC-0161,CLEAN,CLEAN,False,
INV-OC-0163,CLEAN,CLEAN,False,
INV-OC-0165,MISSING_PO,MISSING_PO,False,
INV-OPP-0082,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
INV-OPP-0083,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
INV-PCP-0154,CLEAN,CLEAN,False,
INV-PCP-0156,CLEAN,CLEAN,False,
INV-PE-0236,RATE_MISMATCH,RATE_MISMATCH,False,
INV-PFP-0107,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
INV-PFP-0109,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
INV-PIS-0298,QTY_MISMATCH,QTY_MISMATCH,False,
INV-PIS-0299,CLEAN,CLEAN,False,
INV-PP-0278,CLEAN,CLEAN,False,
INV-PP-0280,UOM_MISMATCH,UOM_MISMATCH,False,
INV-PST-0118,QTY_MISMATCH,QTY_MISMATCH,False,
INV-RC-0263,RATE_MISMATCH,RATE_MISMATCH,False,
INV-REW-0249,CLEAN,CLEAN,False,
INV-REW-0250,QTY_MISMATCH,QTY_MISMATCH,False,
INV-RFP-0189,QTY_MISMATCH,QTY_MISMATCH,False,
INV-RST-0068,CLEAN,CLEAN,False,
INV-RST-0070,QTY_MISMATCH,QTY_MISMATCH,False,
INV-RST-0071,CLEAN,CLEAN,False,
INV-SB&-0079,CLEAN,CLEAN,False,
INV-SB&-0082,CLEAN,CLEAN,False,
INV-SB&-0083,CLEAN,CLEAN,False,
INV-SEW-0165,RATE_MISMATCH,RATE_MISMATCH,False,
INV-SEW-0166,CLEAN,CLEAN,False,
INV-SF&-0239,DUPLICATE_INVOICE,DUPLICATE_INVOICE,False,
INV-SH-0057,CLEAN,CLEAN,False,
INV-SH-0060,QTY_MISMATCH,QTY_MISMATCH,False,
INV-SH-0062,CLEAN,CLEAN,False,
INV-SH-0065,CLEAN,CLEAN,False,
INV-SP&-0293,RATE_MISMATCH,RATE_MISMATCH,False,
INV-SP&-0294,MISSING_PO,MISSING_PO,False,
INV-SP&-0295,CLEAN,CLEAN,False,
INV-SRP-0273,CLEAN,CLEAN,False,
INV-SRP-0274,GST_ERROR,GST_ERROR,False,
INV-SRP-0276,MISSING_PO,MISSING_PO,False,
INV-SRP-0277,UOM_MISMATCH,UOM_MISMATCH,False,
INV-SRP-0279,CLEAN,CLEAN,False,
INV-SST-0137,CLEAN,CLEAN,False,
INV-ST&-0258,CLEAN,CLEAN,False,
INV-ST&-0259,CLEAN,CLEAN,False,
INV-SVB-0101,CLEAN,CLEAN,False,
INV-SVS-0267,CLEAN,CLEAN,False,
INV-SVS-0268,CLEAN,CLEAN,False,
INV-SVS-0269,QTY_MISMATCH,QTY_MISMATCH,False,
INV-TRP-0186,UOM_MISMATCH,UOM_MISMATCH,False,
INV-TRP-0187,CLEAN,CLEAN,False,
INV-UH-0043,RATE_MISMATCH,RATE_MISMATCH,False,
INV-UP-0149,CLEAN,CLEAN,False,
INV-UST-0284,CLEAN,CLEAN,False,
JB&/2026/291,CLEAN,CLEAN,False,
JB&00289,CLEAN,CLEAN,False,
JB&00290,QTY_MISMATCH,QTY_MISMATCH,False,
JC/2026/144,QTY_MISMATCH,QTY_MISMATCH,False,
JC00141,CLEAN,CLEAN,False,
JC00145,CLEAN,CLEAN,False,
JCP/2026/152,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
JCP/2026/156,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
JCP00153,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
JCP00154,VENDOR_MISMATCH,VENDOR_MISMATCH,False,
JEW/2026/155,UOM_MISMATCH,UOM_MISMATCH,False,
JEW/2026/160,CLEAN,CLEAN,False,
JEW00157,GST_ERROR,GST_ERROR,False,
JEW00159,CLEAN,CLEAN,False,
JEW00161,QTY_MISMATCH,QTY_MISMATCH,False,
KM/2026/161,CLEAN,CLEAN,False,
KM/2026/162,CLEAN,CLEAN,False,
KM00164,CLEAN,CLEAN,False,
KP/2026/193,CLEAN,CLEAN,False,
KP00192,CLEAN,CLEAN,False,
KP00194,CLEAN,CLEAN,False,
KP00196,CLEAN,CLEAN,False,
KP00197,MISSING_PO,MISSING_PO,False,
ME/2026/050,CLEAN,CLEAN,False,
ME/2026/051,CLEAN,CLEAN,False,
MEW/2026/188,GST_ERROR,GST_ERROR,False,
MEW/2026/189,CLEAN,CLEAN,False,
MF&/2026/086,CLEAN,CLEAN,False,
MRP00230,CLEAN,CLEAN,False,
MRP00231,CLEAN,CLEAN,False,
MRP00233,CLEAN,CLEAN,False,
MRP00234,CLEAN,CLEAN,False,
NBP/2026/065,GST_ERROR,GST_ERROR,False,
NBP/2026/067,CLEAN,CLEAN,False,
NEW/2026/047,CLEAN,CLEAN,False,
NEW/2026/048,CLEAN,CLEAN,False,
NEW/2026/050,RATE_MISMATCH,RATE_MISMATCH,False,
NEW00051,RATE_MISMATCH,RATE_MISMATCH,False,
NEW00052,CLEAN,CLEAN,False,
NP/2026/059,CLEAN,CLEAN,False,
NP/2026/064,QTY_MISMATCH,QTY_MISMATCH,False,
NP/2026/067,CLEAN,CLEAN,False,
NP00060,CLEAN,CLEAN,False,
NP00062,CLEAN,CLEAN,False,
NP00066,RATE_MISMATCH,RATE_MISMATCH,False,
NP00069,GST_ERROR,GST_ERROR,False,
OC00160,CLEAN,CLEAN,False,
OC00162,GST_ERROR,GST_ERROR,False,
OC00164,GST_ERROR,GST_ERROR,False,
OC00166,CLEAN,CLEAN,False,
OP/2026/278,CLEAN,CLEAN,False,
OP00276,CLEAN,CLEAN,False,
OP00277,CLEAN,CLEAN,False,
PCP/2026/157,QTY_MISMATCH,QTY_MISMATCH,False,
PCP00153,UOM_MISMATCH,UOM_MISMATCH,False,
PCP00155,RATE_MISMATCH,RATE_MISMATCH,False,
PFP/2026/108,MISSING_PO,MISSING_PO,False,
PFP00106,CLEAN,CLEAN,False,
PFP00110,CLEAN,CLEAN,False,
PIS/2026/297,CLEAN,CLEAN,False,
PIS/2026/300,CLEAN,CLEAN,False,
PP/2026/277,QTY_MISMATCH,QTY_MISMATCH,False,
PP/2026/279,CLEAN,CLEAN,False,
PP00281,CLEAN,CLEAN,False,
PST/2026/115,CLEAN,CLEAN,False,
PST/2026/117,CLEAN,CLEAN,False,
PST00114,QTY_MISMATCH,QTY_MISMATCH,False,
PST00116,UOM_MISMATCH,UOM_MISMATCH,False,
RFP/2026/188,GST_ERROR,GST_ERROR,False,
RFP/2026/190,CLEAN,CLEAN,False,
RFP/2026/191,CLEAN,CLEAN,False,
RFP00192,CLEAN,CLEAN,False,
RFP00193,CLEAN,CLEAN,False,
RFP00194,DUPLICATE_INVOICE,DUPLICATE_INVOICE,False,
RST/2026/066,UOM_MISMATCH,UOM_MISMATCH,False,
RST/2026/069,CLEAN,CLEAN,False,
RST00067,CLEAN,CLEAN,False,
RTP/2026/187,CLEAN,CLEAN,False,
RTP/2026/188,CLEAN,CLEAN,False,
RTP00189,CLEAN,CLEAN,False,
SB&/2026/080,MISSING_PO,MISSING_PO,False,
SB&00081,CLEAN,CLEAN,False,
SF&/2026/236,CLEAN,CLEAN,False,
SF&/2026/237,CLEAN,CLEAN,False,
SF&00238,CLEAN,CLEAN,False,
SH/2026/054,UOM_MISMATCH,UOM_MISMATCH,False,
SH/2026/055,CLEAN,CLEAN,False,
SH/2026/056,QTY_MISMATCH,QTY_MISMATCH,False,
SH/2026/064,CLEAN,CLEAN,False,
SH00053,CLEAN,CLEAN,False,
SH00058,CLEAN,CLEAN,False,
SH00059,CLEAN,CLEAN,False,
SH00061,UOM_MISMATCH,UOM_MISMATCH,False,
SH00063,MISSING_PO,MISSING_PO,False,
SP&/2026/292,MISSING_PO,MISSING_PO,False,
SRP00275,CLEAN,CLEAN,False,
SRP00278,CLEAN,CLEAN,False,
SST00136,GST_ERROR,GST_ERROR,False,
SST00138,GST_ERROR,GST_ERROR,False,
SST00139,GST_ERROR,GST_ERROR,False,
ST&/2026/257,CLEAN,CLEAN,False,
ST&00256,QTY_MISMATCH,QTY_MISMATCH,False,
SVB/2026/102,GST_ERROR,GST_ERROR,False,
SVB/2026/104,RATE_MISMATCH,RATE_MISMATCH,False,
SVB00103,CLEAN,CLEAN,False,
SVS/2026/266,RATE_MISMATCH,RATE_MISMATCH,False,
TRP/2026/184,CLEAN,CLEAN,False,
TRP/2026/188,CLEAN,CLEAN,False,
TRP00185,CLEAN,CLEAN,False,
TRP00189,UOM_MISMATCH,UOM_MISMATCH,False,
UH/2026/042,CLEAN,CLEAN,False,
UH00044,CLEAN,CLEAN,False,
UH00045,CLEAN,CLEAN,False,
UP/2026/148,CLEAN,CLEAN,False,
UST/2026/282,CLEAN,CLEAN,False,
UST00283,CLEAN,CLEAN,False,
